relative_path,size_bytes,sha256
condition_model\calibration_fit.csv,797,98c6e81a28a5d899b247525d09ffa7e16a8914caaa4d60f1ed4d027ff517cf05
condition_model\extrapolation_policy.json,196,1a21dc658266ab8b993d0b4a9f8e5d191df3dfa6ff5d281e1570d6bd41a3f13a
condition_model\loocv.csv,3394,09ea8cb3211e2f9641a1c18792749cb8649b2c9ffb81b16867f422d34b9bc783
condition_model\signal_condition_model.json,1487,ca7566ff1d155daced090f358f37993bcc80020c6bfcd4ca49b2436308101851
configs\e2_g_cg_initial_training_20260719.yaml,1654,2ee6236ac2560536c000eb939a6138e1554d2120a4b745c0ca166018e4d8c494
configs\e2_signal_condition_model_20260719.yaml,1213,950660bf1637065a9c15c89733a992fa705f1c6460b99171eb09a81affae167f
manifests\data_role_manifest.csv,350,b43812f5b6597a8da4037b52a3dfc94d0e901597cd2366d4ec82d4678d7cc764
manifests\iccd_calibration_evaluation_split.csv,1541,2161a2ea624ac2232faecf1746f1b3e392e2a60e49fcc3d197e72212fb2d4024
manifests\pmrid_validation_patches.csv,13895,fdbbefe1662205ecc72f459fa3d34e0c6bf6474876eb2b2e2ddee64a33b9c59e
manifests\scmos_training_pairs.csv,94098,c3eef08d0ed1ba3fe84fb5fcb590f83a911a66f9feb2508e9047809ec0fbc5d3
metrics\warnings.csv,214,dfa59c9e0f0c8443c18d6c033d07cf962ae253ccb1d99fbda938046ea97b8b23
provenance\command.txt,156,6ff8f31047a7092fa56cf4a85cb0f5bd8aaf1f7762214e783f453f2a1899b97e
provenance\environment.txt,167,2e4235a9b6d8886d4cc3b628291b0ad432a2119ade1a30a618b2fe63d24d7bf7
provenance\git_commit.txt,42,b47120d2827fc4d4172fd315111def664a7e95d1b8e43bf73bad41fb7c06f708
provenance\git_diff.patch,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
provenance\git_status_after.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
provenance\git_status_before.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
provenance\gpu_info.txt,1709,79c7e5afd97f2e1177814fe84991f775317a230570baacbf654b2dbb460acc96
provenance\pip_freeze.txt,32698,9813bad97a2947d13a85616b1602eaed41a865241b724808ed6ca46a8c916f15
provenance\resolved_config.yaml,1749,fe385331eddcef0a8b47ed90966e877970c89d5772e9d912b8b3d417b2ccbc78
provenance\run_manifest.json,421,c37be584c43c5d4f7c9f993e36e93dda2a78162bbef7e1f9d2b07abe60f6307d
provenance\script_hashes.csv,445,d470a6f0c3fe29565245c46d603fe172a33312607f74f5c5a259db43e1e920ea
provenance\source_protection.csv,34340,bb6ffafe8d6f487ece95b5f055c345b7fb0420e3fdabc168d96684d694d91405
verification_report.md,839,f646dd995401c2e267b19e96e448e7b6477e5985dd657f4fec1805dc72234e04
verification_status.json,943,616b10f3bbbc63532c9f927294068310365078ba8ae4f8a9748c3007a2108dc4
