relative_path,size_bytes,sha256
checkpoints\CG_NC\best.pt,5820438,1930286634ff3202f8af3c75042c205757e454acf35d7edc93aa7855c13b3f61
checkpoints\CG_NC\final.pt,5820586,42907e1e5cb45de5aa072ffc4d65a9d6ceb8177250d0e419c637f3281b0d4886
checkpoints\G\best.pt,5820438,2885aaeeb1dc2e3887d8899537ffa233e2571eb7c54453dcb41c32314ad267ec
checkpoints\G\final.pt,5820586,51ee2af97899bc2a4efa692fa83b56da4b6c983ba7f87771465eed6321ded7b0
condition_model\signal_condition_model.json,1487,ca7566ff1d155daced090f358f37993bcc80020c6bfcd4ca49b2436308101851
configs\e2_signal_condition_model_20260719.yaml,1213,950660bf1637065a9c15c89733a992fa705f1c6460b99171eb09a81affae167f
configs\training_seed_20260721.yaml,2244,f7876af1b3076980284f2f4e5eb2e6941d06cc0dd6b6d1a720dfd326078da80e
manifests\data_role_manifest.csv,308,b8b8dc0280dbdeb3fb0c52ec7382462a75f29c1e8a3732aa70d9ee0559d7d77b
manifests\iccd_signal_anchors.csv,384,2918efd3d5b8b642f45d418eff6c6218a27c7ccce6dea9d96fc70d6a42afd544
manifests\pmrid_scaled_validation_contents.csv,32910,20a44bc994c72294823872af8206984f8c56d9262c8c07a8e7a2627f04254866
manifests\scmos_scaled_training_contents.csv,77571,93f5d9bb4dbd1f5ee72fa0d28e712f4dda798a338d47d82e976e6092de462fda
manifests\training_pairs.csv,214354,a9e9c7c1ba6d4d9f5b2a15acb6728709e27e2f80b79cfafa79d4ff6553ea97b1
manifests\validation_pairs.csv,46445,51db986be099a275befbb49131e9ce6ca2fdb9da553348aaf9d882a647e32714
metrics\condition_summary.csv,877,0ed09e2d70d197e85406a3d4c9e3b742320cc7b4d60ee4f6f2435df9a8a60144
metrics\epoch_metrics.csv,4581,7b7fe67db965d9b09fbd00f711376a82a45b28fd4b9c645ae7b1ef12d5cb8004
metrics\experiment_comparison.csv,1005,f5a83774e874595a96ac07e490d39ca825c3e372bb3759a799a8607694905ab5
metrics\pair_group_brightness_gates.csv,658,8c933b26ef51046cc26e43e2636411ce133f087029158ef435799bb219600b72
metrics\scene_summary.csv,1140,f65b030956ba94a6cc376175fb659dbe8966012ba98e413c29ce4acd662b5578
metrics\validation_pair_metrics.csv,72830,dd583d9c8d23d54748fffcb58a26b7a31c0fc78c34b5eef26d97b84d256bd2cc
metrics\warnings.csv,509,b97fb54e9e97b449b4f8fe1d3e65a280aa7f0cb334c1bf75e3783ff8c9eceb8d
provenance\command.txt,359,64bde767b33a6df610acaaf5ef04a8a336ced741be8b702c2cbe03d7cabeb96e
provenance\environment.txt,227,8117c67fc5114321687af6b9444f2c9273f6a09805784344ae9648d63a2b8490
provenance\git_commit.txt,42,bda4a76454ca244fdb3d054b275e12117f1b118d0535f1f32cb59db9a314fb7a
provenance\git_diff.patch,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
provenance\git_status_after.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
provenance\git_status_before.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
provenance\gpu_info.txt,1709,635f90c82ae4b0770786d168c07f442bd31baa1b980b9b1b14b06dc225d32bee
provenance\pip_freeze.txt,32698,9813bad97a2947d13a85616b1602eaed41a865241b724808ed6ca46a8c916f15
provenance\resolved_config.yaml,2244,f7876af1b3076980284f2f4e5eb2e6941d06cc0dd6b6d1a720dfd326078da80e
provenance\run_manifest.json,1029,d5fd3d8a2a5e80968eacdb33bad85efa5506f0fa43fceadc049543c8df04e325
provenance\script_hashes.csv,482,3ac35216a8a0def00cfc03f06ff4f973e704ddad8361dbe79f408ceefce6d0dd
provenance\source_protection.csv,34340,bb6ffafe8d6f487ece95b5f055c345b7fb0420e3fdabc168d96684d694d91405
scale_preflight\scaling_pair_metrics.csv,111534,ba85a6211314dcc7ae7f5803795f949d5da598313b2eaae454dec7ac0fe37f37
scale_preflight\scaling_summary.csv,801,eecd7c84095b60113e3906d231d32bb17da0519f2f153d508ab945f291c95b8b
scale_preflight\warnings.csv,345,f816ab559dca1e9fc10a60e9a305b85bf86b82bb16986c135244827a54fab1d6
verification_report.md,1988,b5737a06a3d14ab0d2bf095f736703eba29382671579ae833005cc698763bd69
verification_status.json,814,b5595be400b0111d2683d7227256701218f4d1fc376da5432a4cdb90b4d19f11
